site_id,site_name,scenario_id,scenario_type,numeric_result_available,exploratory_wci_rank,exploratory_pdlr_rank,definitive_cross_site_rank_admissible,rank_scope,rank_admissibility,boundary_status,blocking_reason
lebanon_in,Lebanon,lebanon_tier3_existing_system_counterfactual,pre_expansion_counterfactual,yes,1,1,no,10 numeric conditional anchors; no primary WCI/PDLR anchors are NA; heterogeneous evidence and boundaries,scenario_only,conditional,Planning counterfactual: Tier III peak is compared with the pre-expansion system; this is not current operating overload.
council_bluffs_ia,Council Bluffs,council_bluffs_fy2024_combined_nominal_k,reconstructed_combined_nominal_capacity,yes,3,3,no,10 numeric conditional anchors; no primary WCI/PDLR anchors are NA; heterogeneous evidence and boundaries,conditional_scenario,conditional,Conditional reconstructed-capacity scenario: 30 MGD is the sum of the 20 MGD Narrows and 10 MGD Council Point nominal potable-treatment capacities; it is not firm available headroom.
mayes_county_ok,Mayes County,mayes_fy2024_nominal_k_default_pf,conditional_nominal_capacity_scenario,yes,5,5,no,10 numeric conditional anchors; no primary WCI/PDLR anchors are NA; heterogeneous evidence and boundaries,conditional_scenario,conditional,"Conditional nominal-capacity scenario; K is now authoritative, but PF remains an author assumption."
the_dalles_or,The Dalles,the_dalles_fy2024_reliable_supply_k,current_reliable_supply_capacity,yes,4,4,no,10 numeric conditional anchors; no primary WCI/PDLR anchors are NA; heterogeneous evidence and boundaries,conditional_scenario,conditional,Conditional current-supply scenario using the City-reported 8.7 MGD reliable peak-season system supply; this is not available headroom.
douglas_county_ga,Douglas County,douglas_reclaimed_subsystem_wci_pdlr,reclaimed_pathway_primary_scenario,yes,2,2,no,10 numeric conditional anchors; no primary WCI/PDLR anchors are NA; heterogeneous evidence and boundaries,conditional_scenario,conditional,"Conditional reclaimed-pathway scenario: the 3.0 MGD reclaimed side-stream capacity is matched to reclaimed withdrawal, and the FY2024 campus-wide consumptive ratio is used explicitly as a within-campus proxy for the reclaimed stream."
wisconsin_mount_pleasant_wi,Wisconsin site,wisconsin_40_mgd_2021_context,conditional_historical_context_scenario,yes,9,9,no,10 numeric conditional anchors; no primary WCI/PDLR anchors are NA; heterogeneous evidence and boundaries,conditional_confirmation_pending,conditional,Conditional 40 MGD Racine-system scenario; the official capacity source has 2021 context and current confirmation is pending.
botetourt_county_va,Botetourt County,botetourt_peak_reservation_24_mgd_k,permitted_peak_reservation_scenario,yes,6,6,no,10 numeric conditional anchors; no primary WCI/PDLR anchors are NA; heterogeneous evidence and boundaries,scenario_only,conditional,Planned maximum-reservation scenario; 2 MGD is used directly against the current 24 MGD serving-plant rating.
memphis_tn,Memphis,memphis_peak_serving_plant_30,serving_plant_denominator_scenario,yes,8,8,no,10 numeric conditional anchors; no primary WCI/PDLR anchors are NA; heterogeneous evidence and boundaries,scenario_only,conditional,Serving-plant scenario: the 1 MGD service maximum is compared with the 30 MGD Davis WTP rating.
midlothian_tx,Midlothian,midlothian_fy2024_nominal_k_default_pf,conditional_nominal_capacity_scenario,yes,7,7,no,10 numeric conditional anchors; no primary WCI/PDLR anchors are NA; heterogeneous evidence and boundaries,conditional_scenario,conditional,"Conditional nominal-capacity scenario; K is authoritative, but PF remains assumed and direct service needs confirmation."
henderson_nv,Henderson,henderson_fy2024_regional_gross_capacity,regional_denominator_scenario,yes,10,10,no,10 numeric conditional anchors; no primary WCI/PDLR anchors are NA; heterogeneous evidence and boundaries,regional_scenario_only,regional,"Regional gross-capacity scenario; it does not measure local headroom, basin scarcity, or hydrologic safety."
