site_id,site_name,state,operator,scenario_id,scenario_name,scenario_type,comparison_anchor,analysis_unit,operational_status,source_status,boundary_status,rank_admissibility,calculation_status,W_avg_MGD,C_avg_MGD,r_used,PF_W,PF_C,W_peak_MGD,C_peak_MGD,K_MGD,W_avg_ML_d,C_avg_ML_d,W_peak_ML_d,C_peak_ML_d,K_ML_d,WCI,WCI_pct,PDLR,PDLR_pct,shared_pf_or_constant_r_assumption,identity_residual,interpretation_note
lebanon_in,Lebanon,IN,Meta,lebanon_tier3_existing_system_counterfactual,Tier III peak against existing 4.6 MGD system,pre_expansion_counterfactual,yes,development reservation,planned Tier III full buildout,verified_local,conditional,scenario_only,numeric_conditional_scenario,,,0.77,,,8,6.16,4.6,,,30.283294272,23.3181365894,17.4128942064,1.33913043478,133.913043478,1.73913043478,173.913043478,constant transferred r at peak; direct peak input; no added PF,-2.22044604925e-16,Planning counterfactual: Tier III peak is compared with the pre-expansion system; this is not current operating overload.
lebanon_in,Lebanon,IN,Meta,lebanon_tier3_planned_wholesale_allocation,Tier III peak against planned 25 MGD wholesale allocation,planned_allocation_scenario,no,development reservation,planned Tier III full buildout,authoritative_current;verified_local,conditional,within_site_scenario_only,numeric_conditional_scenario,,,0.77,,,8,6.16,25,,,30.283294272,23.3181365894,94.6352946,0.2464,24.64,0.32,32,constant transferred r at peak; direct peak input; no added PF,0,Within-site planning scenario using the 25 MGD future wholesale allocation; no total post-expansion capacity is inferred.
council_bluffs_ia,Council Bluffs,IA,Google,council_bluffs_fy2024_combined_nominal_k,FY2024 campus against reconstructed 30 MGD combined potable-system capacity,reconstructed_combined_nominal_capacity,yes,campus,operating FY2024,authoritative_plus_engineering;verified_local,conditional,conditional_scenario,numeric_conditional_scenario,3.85327868852,2.76010928962,0.716301496136,6.5,6.5,25.0463114754,17.9407103825,30,14.5862465546,10.44815023,94.8106026048,67.9129764953,113.56235352,0.598023679417,59.8023679417,0.83487704918,83.487704918,PF_W equals PF_C and r is constant from average to peak,-1.11022302463e-16,Conditional reconstructed-capacity scenario: 30 MGD is the sum of the 20 MGD Narrows and 10 MGD Council Point nominal potable-treatment capacities; it is not firm available headroom.
mayes_county_ok,Mayes County,OK,Google,mayes_fy2024_nominal_k_default_pf,FY2024 campus against current 50 MGD nominal K with assumed PF,conditional_nominal_capacity_scenario,yes,campus,operating FY2024,author_assumption;authoritative_current;verified_local,conditional,conditional_scenario,numeric_conditional_scenario,3.0281420765,2.27650273224,0.751782008481,2.5,2.5,7.57035519126,5.6912568306,50,11.4627647,8.61750026893,28.65691175,21.5437506723,189.2705892,0.113825136612,11.3825136612,0.151407103825,15.1407103825,PF_W equals PF_C and r is constant from average to peak,0,"Conditional nominal-capacity scenario; K is now authoritative, but PF remains an author assumption."
the_dalles_or,The Dalles,OR,Google,the_dalles_fy2024_reliable_supply_k,FY2024 campus against current 8.7 MGD reliable peak-season system supply,current_reliable_supply_capacity,yes,campus,operating FY2024,authoritative_current;cited_not_locally_verified;verified_local,conditional,conditional_scenario,numeric_conditional_scenario,1.25983606557,0.987431693989,0.78377792236,2.21,2.21,2.78423770492,2.18222404372,8.7,4.76899828853,3.73783557032,10.5394862177,8.26061661041,32.9330825208,0.250830349852,25.0830349852,0.320027322404,32.0027322404,PF_W equals PF_C and r is constant from average to peak,5.55111512313e-17,Conditional current-supply scenario using the City-reported 8.7 MGD reliable peak-season system supply; this is not available headroom.
the_dalles_or,The Dalles,OR,Google,the_dalles_fy2024_historical_k_proxy,FY2024 campus against historical 2006 reliable K,historical_denominator_scenario,no,campus,operating FY2024,authoritative_historical;cited_not_locally_verified;verified_local,temporal_mismatch,within_site_scenario_only,numeric_conditional_scenario,1.25983606557,0.987431693989,0.78377792236,2.21,2.21,2.78423770492,2.18222404372,4.5,4.76899828853,3.73783557032,10.5394862177,8.26061661041,17.034353028,0.484938676381,48.4938676381,0.618719489982,61.8719489982,PF_W equals PF_C and r is constant from average to peak,5.55111512313e-17,Historical-denominator scenario only: FY2024 use is compared with the 4.5 MGD reliable supply reported in 2006.
douglas_county_ga,Douglas County,GA,Google,douglas_combined_boundary_indeterminate,FY2024 combined campus water with no matched combined K,boundary_indeterminate,no,campus,operating FY2024,author_assumption;unresolved;verified_local,fail,not_admissible,numerator_only_denominator_or_boundary_unresolved,1.21338797814,1.00245901639,0.826165278091,2.5,2.5,3.03346994536,2.50614754098,,4.59317315102,3.79472017363,11.4829328776,9.48680043408,,,,,,PF_W equals PF_C and r is constant from average to peak,,NA: combined reclaimed and potable water is not matched to one combined capacity denominator.
douglas_county_ga,Douglas County,GA,Google,douglas_reclaimed_subsystem_wci_pdlr,FY2024 reclaimed-water pathway against 3 MGD reclaimed subsystem K,reclaimed_pathway_primary_scenario,yes,campus reclaimed stream,operating FY2024,author_assumption;authoritative_current;verified_local;verified_local_proxy,conditional,conditional_scenario,numeric_conditional_scenario,1.19316939891,0.985755128257,0.826165278091,2.5,2.5,2.98292349727,2.46438782064,3,4.51663750293,3.73148907864,11.2915937573,9.32872269661,11.356235352,0.821462606881,82.1462606881,0.994307832423,99.4307832423,PF_W equals PF_C and r is constant from average to peak,0,"Conditional reclaimed-pathway scenario: the 3.0 MGD reclaimed side-stream capacity is matched to reclaimed withdrawal, and the FY2024 campus-wide consumptive ratio is used explicitly as a within-campus proxy for the reclaimed stream."
wisconsin_mount_pleasant_wi,Wisconsin site,WI,Microsoft,wisconsin_40_mgd_2021_context,Planned peak against 40 MGD Racine system capacity in 2021 context,conditional_historical_context_scenario,yes,planned facility or campus,planned or ramping,official_2021_context;secondary_source;verified_local,conditional,conditional_confirmation_pending,numeric_conditional_scenario,0.0230136986301,,0.77,,,0.702,0.54054,40,0.0871163259879,,2.65735907237,2.04616648572,151.41647136,0.0135135,1.35135,0.01755,1.755,constant transferred r at peak; direct peak input; no added PF,1.73472347598e-18,Conditional 40 MGD Racine-system scenario; the official capacity source has 2021 context and current confirmation is pending.
botetourt_county_va,Botetourt County,VA,Google,botetourt_peak_reservation_24_mgd_k,2 MGD maximum reservation against 24 MGD Carvins Cove WTP,permitted_peak_reservation_scenario,yes,development reservation,planned or ramping,authoritative_current;verified_local,conditional,scenario_only,numeric_conditional_scenario,,,0.77,,,2,1.54,24,,,7.570823568,5.82953414736,90.849882816,0.0641666666667,6.41666666667,0.0833333333333,8.33333333333,constant transferred r at peak; direct peak input; no added PF,0,Planned maximum-reservation scenario; 2 MGD is used directly against the current 24 MGD serving-plant rating.
