corpus_order,citation_key,citation_label,primary_contribution,primary_pathway,evidence_tier,source_type_detail,cross_pathway_role,inclusion_basis,source_url
1,Li2025,Li et al. (2025),Water footprint of AI models,Burden,Peer-reviewed/scholarly,"Research article, conference paper, scholarly preprint, or technical research report",Cross-cutting volumetrics,Included because it supports the burden pathway through: Water footprint of AI models.,
2,Mytton2021,Mytton (2021),Data-centre water consumption review,Burden,Peer-reviewed/scholarly,"Research article, conference paper, scholarly preprint, or technical research report",---,Included because it supports the burden pathway through: Data-centre water consumption review.,
3,Siddik2021,Siddik et al. (2021),US data-centre environmental footprint,Burden,Peer-reviewed/scholarly,"Research article, conference paper, scholarly preprint, or technical research report",Cross-cutting siting,Included because it supports the burden pathway through: US data-centre environmental footprint.,
4,Siddik2024,Siddik et al. (2024),Spatiotemporal water and carbon footprints,Burden,Peer-reviewed/scholarly,"Research article, conference paper, scholarly preprint, or technical research report",---,Included because it supports the burden pathway through: Spatiotemporal water and carbon footprints.,
5,deVriesGao2026,de Vries and Gao (2026),Global data-centre water and carbon footprints,Burden,Peer-reviewed/scholarly,"Research article, conference paper, scholarly preprint, or technical research report",---,Included because it supports the burden pathway through: Global data-centre water and carbon footprints.,
6,Xiao2025,Xiao et al. (2025),AI-server net-zero pathways,Burden,Peer-reviewed/scholarly,"Research article, conference paper, scholarly preprint, or technical research report",---,Included because it supports the burden pathway through: AI-server net-zero pathways.,
7,Herrera2025,Herrera et al. (2025),Scenario-based water-footprint forecasting,Burden,Peer-reviewed/scholarly,"Research article, conference paper, scholarly preprint, or technical research report",---,Included because it supports the burden pathway through: Scenario-based water-footprint forecasting.,
8,Farfan2023,Farfan and Lohrmann (2023),European digital-services footprint,Burden,Peer-reviewed/scholarly,"Research article, conference paper, scholarly preprint, or technical research report",---,Included because it supports the burden pathway through: European digital-services footprint.,
9,Lei2022,Lei and Masanet (2022),PUE and WUE estimation methodology,Burden,Peer-reviewed/scholarly,"Research article, conference paper, scholarly preprint, or technical research report",---,Included because it supports the burden pathway through: PUE and WUE estimation methodology.,
10,Lei2025,Lei et al. (2025),Data-centre workload water-use determinants,Burden,Peer-reviewed/scholarly,"Research article, conference paper, scholarly preprint, or technical research report",---,Included because it supports the burden pathway through: Data-centre workload water-use determinants.,
11,Karimi2022,Karimi et al. (2022),Water-energy trade-offs in a hot-arid data centre,Burden,Peer-reviewed/scholarly,"Research article, conference paper, scholarly preprint, or technical research report",---,Included because it supports the burden pathway through: Water-energy trade-offs in a hot-arid data centre.,
12,Jiang2025,Jiang et al. (2025),Chinese data-centre water footprint,Burden,Peer-reviewed/scholarly,"Research article, conference paper, scholarly preprint, or technical research report",Constraint (spatial mismatch),Included because it supports the burden pathway through: Chinese data-centre water footprint.,
13,Han2026,Han et al. (2026),Data-centre impact on public water systems,Burden,Peer-reviewed/scholarly,"Research article, conference paper, scholarly preprint, or technical research report",Cross-cutting framework,Included because it supports the burden pathway through: Data-centre impact on public water systems.,
14,Alkrush2024,Alkrush et al. (2024),Data-centre cooling-energy review,Burden,Peer-reviewed/scholarly,"Research article, conference paper, scholarly preprint, or technical research report",---,Included because it supports the burden pathway through: Data-centre cooling-energy review.,
15,Jegham2025,Jegham et al. (2025),LLM-inference footprint benchmarking,Burden,Peer-reviewed/scholarly,"Research article, conference paper, scholarly preprint, or technical research report",---,Included because it supports the burden pathway through: LLM-inference footprint benchmarking.,https://arxiv.org/abs/2505.09598
16,FlexCoolDC2024,"FlexCoolDC (Gnibga et al., 2024)",Cooling-flexibility trade-offs,Burden,Peer-reviewed/scholarly,"Research article, conference paper, scholarly preprint, or technical research report",---,Included because it supports the burden pathway through: Cooling-flexibility trade-offs.,
17,Falk2025,Falk et al. (2025),AI resource cost and material intensity,Burden,Peer-reviewed/scholarly,"Research article, conference paper, scholarly preprint, or technical research report",---,Included because it supports the burden pathway through: AI resource cost and material intensity.,https://arxiv.org/abs/2512.04142
18,Privette2026,Privette et al. (2026),Data-centre water-footprint transparency,Burden,Peer-reviewed/scholarly,"Research article, conference paper, scholarly preprint, or technical research report",Cross-cutting governance,Included because it supports the burden pathway through: Data-centre water-footprint transparency.,
19,Sickinger2018,Sickinger et al. (2018),NREL hybrid-cooling trial,Burden,Peer-reviewed/scholarly,"Research article, conference paper, scholarly preprint, or technical research report",Adaptive (technology),Included because it supports the burden pathway through: NREL hybrid-cooling trial.,
20,Han2024,Han et al. (2024),Data-centre public-health impact,Burden,Peer-reviewed/scholarly,"Research article, conference paper, scholarly preprint, or technical research report",---,Included because it supports the burden pathway through: Data-centre public-health impact.,
